"aud,jpy",aud-jpy,aud/jpy
"aud""usd",aud-usd,aud/usd
ch'fjpy,chf-jpy,chf/jpy
euraud,eur-aud,eur/aud
eurcad,eur-cad,eur/cad
eurchf,eur-chf,eur/chf
eurgbp,eur-gbp,eur/gbp
eurjpy,eur-jpy,eur/jpy
eurusd,eur-usd,eur/usd
gbpaud,gbp-aud,gbp/aud
gbpcad,gbp-cad,gbp/cad
gbpchf,gbp-chf,gbp/chf
gbpjpy,gbp-jpy,gbp/jpy
gbpusd,gbp-usd,gbp/usd
nzdjpy,nzd-jpy,nzd/jpy
nzdusd,nzd-usd,nzd/usd
usdcad,usd-cad,usd/cad
usdchf,usd-chf,usd/chf
usdjpy,usd-jpy,usd/jpy
audcad,aud-cad,aud/cad
audchf,aud-chf,aud/chf
audnzd,aud-nzd,aud/nzd
audsgd,aud-sgd,aud/sgd
cadchf,cad-chf,cad/chf
cadjpy,cad-jpy,cad/jpy
chfsgd,chf-sgd,chf/sgd
eurdkk,eur-dkk,eur/dkk
eurnok,eur-nok,eur/nok
eurnzd,eur-nzd,eur/nzd
eursek,eur-sek,eur/sek
eursgd,eur-sgd,eur/sgd
gbpnzd,gbp-nzd,gbp/nzd
gbpsgd,gbp-sgd,gbp/sgd
nzdcad,nzd-cad,nzd/cad
nzdchf,nzd-chf,nzd/chf
nzdsgd,nzd-sgd,nzd/sgd
sgdjpy,sgd-jpy,sgd/jpy
usdhkd,usd-hkd,usd/hkd
usdnok,usd-nok,usd/nok
usdsek,usd-sek,usd/sek
usdsgd,usd-sgd,usd/sgd
chfnok,chf-nok,chf/nok
chfpln,chf-pln,chf/pln
eurhkd,eur-hkd,eur/hkd
eurinr,eur-inr,eur/inr
eurpln,eur-pln,eur/pln
eurtry,eur-try,eur/try
gbphuf,gbp-huf,gbp/huf
gbpinr,gbp-inr,gbp/inr
gbpnok,gbp-nok,gbp/nok
gbppln,gbp-pln,gbp/pln
gbpsek,gbp-sek,gbp/sek
usdcnh,usd-cnh,usd/cnh
usdczk,usd-czk,usd/czk
usdhuf,usd-huf,usd/huf
usdinr,usd-inr,usd/inr
usdmxn,usd-mxn,usd/mxn
usdpln,usd-pln,usd/pln
usdtry,usd-try,usd/try
usdzar,usd-zar,usd/zar
eurrub,eur-rub,eur/rub
usdrub,usd-rub,usd/rub
